Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo
P3_D0_G1_M6_R1_T1,G1,2,7,2,7,7,7,7,7,7,7,7,1,7,7,,,4.25,7.0,5.625,D0,M6,R1
P3_D6_G1_M6_R1_T1,G1,2,7,4,6,7,6,6,7,7,7,6,1,7,7,,,4.75,6.333333333333333,5.541666666666666,D6,M6,R1
P3_D5_G1_M6_R1_T1,G1,2,7,4,6,7,6,5,5,7,7,7,5,6,6,,,5.25,6.333333333333333,5.791666666666666,D5,M6,R1
P3_D1_G1_M6_R1_T1,G1,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,4.75,7.0,5.875,D1,M6,R1
P3_D5_G1_M5_R1_T1,G1,7,6,7,6,7,7,7,7,5,1,2,1,7,7,,,5.5,4.666666666666667,5.083333333333334,D5,M5,R1
P3_D1_G1_M1_R1_T1,G1,7,6,6,6,7,6,7,7,6,2,2,1,7,7,,,5.25,4.833333333333333,5.041666666666666,D1,M1,R1
P3_D6_G1_M6_R2_T1,G1,2,6,2,6,6,6,6,6,6,7,6,6,6,6,,,5.0,6.166666666666667,5.583333333333334,D6,M6,R2
P3_D5_G1_M6_R2_T1,G1,2,4,2,5,5,5,5,5,5,7,6,4,5,5,,,4.0,5.5,4.75,D5,M6,R2
P3_D1_G1_M6_R2_T1,G1,2,6,2,6,6,7,6,6,7,7,7,1,7,7,,,3.75,6.666666666666667,5.208333333333334,D1,M6,R2
P3_D5_G1_M5_R2_T1,G1,7,7,7,7,7,7,7,7,7,1,6,1,7,7,,,5.5,5.833333333333333,5.666666666666666,D5,M5,R2
P3_D1_G1_M1_R2_T1,G1,7,7,7,6,7,7,7,7,6,1,1,1,7,7,,,5.5,4.666666666666667,5.083333333333334,D1,M1,R2
P3_D0_G1_M6_R2_T1,G1,1,1,1,5,6,4,4,5,5,7,5,4,5,5,,,4.0,5.0,4.5,D0,M6,R2
P4_D0_G2_M6_R1_T1,G2,2,4,4,6,6,7,7,4,6,7,7,6,6,6,,,5.0,6.666666666666667,5.833333333333334,
P4_D6_G2_M6_R1_T1,G2,2,4,4,6,6,7,7,6,7,7,7,5,6,7,,,5.25,6.833333333333333,6.041666666666666,D6,M6,R1
P4_D5_G2_M6_R1_T1,G2,2,4,5,6,6,7,7,6,6,7,7,6,6,7,,,5.75,6.666666666666667,6.208333333333334,D5,M6,R1
P4_D1_G2_M6_R1_T1,G2,2,4,4,6,7,6,7,7,7,7,6,5,6,7,,,5.75,6.5,6.125,D1,M6,R1
P4_D5_G2_M5_R1_T1,G2,6,6,7,6,7,7,7,7,6,6,5,6,7,7,,,6.75,6.166666666666667,6.458333333333334,D5,M5,R1
P4_D1_G2_M1_R1_T1,G2,7,6,6,6,7,7,7,7,6,5,5,6,6,7,,,6.5,6.0,6.25,D1,M1,R1
P4_D6_G2_M6_R2_T1,G2,2,4,4,6,7,7,7,7,6,7,6,6,4,3,,,6.0,6.5,6.25,D6,M6,R2
P4_D5_G2_M6_R2_T1,G2,2,2,4,7,7,7,7,7,7,7,6,6,5,5,,,6.0,6.833333333333333,6.416666666666666,D5,M6,R2
P4_D1_G2_M6_R2_T1,G2,2,2,4,7,7,7,7,7,5,5,5,6,5,4,,,6.0,6.0,6.0,D1,M6,R2
P4_D5_G2_M5_R2_T1,G2,4,5,5,6,7,7,7,7,7,4,4,6,4,5,,,6.25,5.833333333333333,6.041666666666666,D5,M5,R2
