Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Expression_stnd,Technique,Technique_stnd,Harmony,Harmony_stnd
mean,All,5.50,-0.00,3.33,-0.00,3.17,0.00,2.04,0.00,2.25,0.00,5.39,-0.00,2.67,0.00,3.50,-0.00,2.58,-0.00
std,All,1.64,0.96,1.20,0.96,0.95,0.96,0.91,0.96,0.99,0.96,1.19,0.96,1.72,0.96,1.82,0.96,1.69,0.96
mean,Day1,6.00,0.00,3.50,-0.00,3.00,-0.00,2.08,-0.00,2.60,0.00,4.61,-0.00,3.33,-0.00,5.00,0.00,3.67,0.00
std,Day1,1.69,0.93,1.04,0.93,1.07,0.93,0.98,0.93,1.18,0.93,0.98,0.93,1.98,0.93,1.07,0.93,1.48,0.93
mean,Day2,5.00,0.00,3.17,0.00,3.33,-0.00,2.00,0.00,1.90,0.00,6.17,-0.00,2.00,0.00,2.00,0.00,1.50,0.00
std,Day2,1.31,0.93,1.24,0.93,0.69,0.93,0.76,0.93,0.45,0.93,0.79,0.93,0.93,0.93,1.07,0.93,1.04,0.93
mean,Buleria,6.25,0.00,4.50,0.00,3.75,0.00,2.00,0.00,2.19,0.00,6.17,-0.00,1.50,-0.00,2.50,0.00,1.25,-0.00
std,Buleria,1.16,0.89,0.45,0.89,0.39,0.89,0.84,0.89,0.46,0.89,0.77,0.89,0.77,0.89,1.34,0.89,0.39,0.89
mean,Solea,6.00,0.00,3.67,0.00,3.67,0.00,2.33,-0.00,2.50,-0.00,6.22,-0.00,3.00,0.00,3.00,0.00,3.33,-0.00
std,Solea,1.22,0.87,0.41,0.87,0.41,0.87,0.41,0.87,0.49,0.87,0.36,0.87,1.41,0.87,1.22,0.87,1.47,0.87
mean,Guajira,5.50,0.00,3.00,0.00,2.00,0.00,1.00,0.00,1.25,0.00,4.00,0.00,3.00,0.00,4.00,0.00,3.00,0.00
std,Guajira,1.22,0.82,0.82,0.82,0.00,0.00,0.00,0.00,0.10,0.82,0.82,0.82,0.00,0.00,1.63,0.82,1.63,0.82
mean,Seguirya,4.00,0.00,1.67,-0.00,2.67,0.00,2.50,0.00,2.75,0.00,4.44,-0.00,3.67,0.00,5.00,0.00,3.33,-0.00
std,Seguirya,1.41,0.87,0.41,0.87,1.08,0.87,0.94,0.87,1.39,0.87,0.68,0.87,2.16,0.87,1.41,0.87,1.47,0.87
mean,IMP1,6.83,0.00,3.83,-0.00,3.50,0.00,2.42,0.00,2.88,0.00,5.11,-0.00,2.67,0.00,4.50,0.00,3.50,-0.00
std,IMP1,0.35,0.93,0.83,0.93,0.71,0.93,0.90,0.93,0.98,0.93,0.97,0.93,1.27,0.93,0.71,0.93,1.39,0.93
mean,IMP2,4.00,0.00,2.75,0.00,3.25,0.00,1.75,-0.00,1.75,0.00,5.92,-0.00,2.00,0.00,1.75,-0.00,1.00,0.00
std,IMP2,0.00,0.00,1.32,0.89,0.74,0.89,0.74,0.89,0.40,0.89,0.83,0.89,0.89,0.89,0.74,0.89,0.00,0.00
